created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2022-10-25T19:37:15+05:30,1,0,,,,,
2022-10-25T19:37:16+05:30,2,0,,,,,
2022-10-25T19:37:17+05:30,3,0,,,,,
2022-10-25T19:37:18+05:30,4,21.89,,,,,
2022-10-25T19:37:19+05:30,5,25.21,,,,,
2022-10-25T19:37:20+05:30,6,15.04,,,,,
2022-10-25T19:37:21+05:30,7,6.85,,,,,
2022-10-25T19:37:22+05:30,8,0.66,,,,,
2022-10-25T19:37:23+05:30,9,0,,,,,
2022-10-25T19:37:24+05:30,10,0,,,,,
2022-10-25T19:37:25+05:30,11,0,,,,,
2022-10-25T19:37:26+05:30,12,0,,,,,
2022-10-25T19:37:27+05:30,13,0,,,,,
2022-10-25T19:37:28+05:30,14,0,,,,,
2022-10-25T19:37:29+05:30,15,3.97,,,,,
2022-10-25T19:37:30+05:30,16,28.14,,,,,
2022-10-25T19:37:31+05:30,17,23.42,,,,,
2022-10-25T19:37:32+05:30,18,13.27,,,,,
2022-10-25T19:37:33+05:30,19,5.31,,,,,
2022-10-25T19:37:34+05:30,20,0.22,,,,,
2022-10-25T19:37:35+05:30,21,0.22,,,,,
2022-10-25T19:37:36+05:30,22,0,,,,,
2022-10-25T19:37:37+05:30,23,0,,,,,
2022-10-25T19:37:38+05:30,24,0,,,,,
2022-10-25T19:37:39+05:30,25,0,,,,,
2022-10-25T19:37:40+05:30,26,0,,,,,
2022-10-25T19:37:41+05:30,27,0,,,,,
2022-10-25T19:37:42+05:30,28,0,,,,,
2022-10-25T19:37:43+05:30,29,0,,,,,
2022-10-25T19:37:44+05:30,30,0,,,,,
2022-10-25T19:37:45+05:30,31,0,,,,,
2022-10-25T19:37:46+05:30,32,0,,,,,
2022-10-25T19:37:47+05:30,33,0,,,,,
2022-10-25T19:37:48+05:30,34,0.22,,,,,
2022-10-25T19:37:49+05:30,35,22.11,,,,,
2022-10-25T19:37:50+05:30,36,36.93,,,,,
2022-10-25T19:37:51+05:30,37,23.66,,,,,
2022-10-25T19:37:52+05:30,38,17.69,,,,,
2022-10-25T19:37:53+05:30,39,14.59,,,,,
2022-10-25T19:37:54+05:30,40,13.05,,,,,
2022-10-25T19:37:55+05:30,41,11.5,,,,,
2022-10-25T19:37:56+05:30,42,10.17,,,,,
2022-10-25T19:37:57+05:30,43,9.07,,,,,
2022-10-25T19:37:58+05:30,44,7.96,,,,,
2022-10-25T19:37:59+05:30,45,7.07,,,,,
2022-10-25T19:38:00+05:30,46,6.19,,,,,
2022-10-25T19:38:01+05:30,47,5.31,,,,,
2022-10-25T19:38:02+05:30,48,4.41,,,,,
2022-10-25T19:38:03+05:30,49,3.33,,,,,
2022-10-25T19:38:04+05:30,50,2.43,,,,,
2022-10-25T19:38:05+05:30,51,1.77,,,,,
2022-10-25T19:38:06+05:30,52,1.11,,,,,
2022-10-25T19:38:07+05:30,53,0.44,,,,,
2022-10-25T19:38:08+05:30,54,0,,,,,
2022-10-25T19:38:09+05:30,55,0,,,,,
2022-10-25T19:38:10+05:30,56,0,,,,,
2022-10-25T19:38:11+05:30,57,0,,,,,
2022-10-25T19:38:12+05:30,58,0,,,,,
2022-10-25T19:38:13+05:30,59,0,,,,,
2022-10-25T19:38:14+05:30,60,0,,,,,
2022-10-25T19:38:15+05:30,61,0,,,,,
2022-10-25T19:38:16+05:30,62,0,,,,,
2022-10-25T19:38:17+05:30,63,0,,,,,
2022-10-25T19:38:18+05:30,64,0,,,,,
2022-10-25T19:38:19+05:30,65,0,,,,,
2022-10-25T19:38:20+05:30,66,0,,,,,
2022-10-25T19:38:21+05:30,67,0,,,,,
2022-10-25T19:38:22+05:30,68,0,,,,,
2022-10-25T19:38:23+05:30,69,0,,,,,
2022-10-25T19:38:24+05:30,70,0,,,,,
2022-10-25T19:38:25+05:30,71,0,,,,,
2022-10-25T19:38:26+05:30,72,0,,,,,
2022-10-25T19:38:27+05:30,73,0,,,,,
2022-10-25T19:38:28+05:30,74,0,,,,,
2022-10-25T19:38:29+05:30,75,0,,,,,
2022-10-25T19:38:30+05:30,76,0,,,,,
2022-10-25T19:38:31+05:30,77,0,,,,,
2022-10-25T19:38:32+05:30,78,0,,,,,
2022-10-25T19:38:33+05:30,79,0,,,,,
2022-10-25T19:38:34+05:30,80,0,,,,,
2022-10-25T19:38:35+05:30,81,0,,,,,
2022-10-25T19:38:36+05:30,82,0,,,,,
2022-10-25T19:38:37+05:30,83,0,,,,,
2022-10-25T19:38:38+05:30,84,0,,,,,
2022-10-25T19:38:39+05:30,85,0,,,,,
2022-10-25T19:38:40+05:30,86,0,,,,,
2022-10-25T19:38:41+05:30,87,0,,,,,
2022-10-25T19:38:42+05:30,88,0,,,,,
2022-10-25T19:38:43+05:30,89,0,,,,,
2022-10-25T19:38:44+05:30,90,0,,,,,
2022-10-25T19:38:45+05:30,91,0,,,,,
2022-10-25T19:38:46+05:30,92,0,,,,,
2022-10-25T19:38:47+05:30,93,0,,,,,
2022-10-25T19:38:48+05:30,94,0,,,,,
2022-10-25T19:38:49+05:30,95,0,,,,,
2022-10-25T19:38:50+05:30,96,0,,,,,
2022-10-25T19:38:51+05:30,97,0,,,,,
2022-10-25T19:38:52+05:30,98,0,,,,,
2022-10-25T19:38:53+05:30,99,0,,,,,
2022-10-25T19:38:54+05:30,100,0,,,,,
2022-10-25T19:38:55+05:30,101,0,,,,,
2022-10-25T19:38:56+05:30,102,0,,,,,
2022-10-25T19:38:57+05:30,103,0,,,,,
2022-10-25T19:38:58+05:30,104,0,,,,,
2022-10-25T19:38:59+05:30,105,0,,,,,
2022-10-25T19:39:00+05:30,106,0,,,,,
2022-10-25T19:39:01+05:30,107,0,,,,,
2022-10-25T19:39:02+05:30,108,0,,,,,
2022-10-25T19:39:03+05:30,109,0,,,,,
2022-10-25T19:39:04+05:30,110,0,,,,,
2022-10-25T19:39:05+05:30,111,0,,,,,
2022-10-25T19:39:06+05:30,112,0,,,,,
2022-10-25T19:39:07+05:30,113,0,,,,,
2022-10-25T19:39:08+05:30,114,0,,,,,
2022-10-25T19:39:10+05:30,115,0,,,,,
2022-10-25T19:39:11+05:30,116,0,,,,,
2022-10-25T19:39:12+05:30,117,0,,,,,
2022-10-25T19:39:13+05:30,118,0,,,,,
2022-10-25T19:39:14+05:30,119,0,,,,,
2022-10-25T19:39:15+05:30,120,0,,,,,
2022-10-25T19:39:16+05:30,121,0,,,,,
2022-10-25T19:39:17+05:30,122,0,,,,,
2022-10-25T19:39:18+05:30,123,0,,,,,
2022-10-25T19:39:19+05:30,124,0,,,,,
2022-10-25T19:39:20+05:30,125,0,,,,,
2022-10-25T19:39:21+05:30,126,0,,,,,
2022-10-25T19:39:22+05:30,127,0,,,,,
2022-10-25T19:39:23+05:30,128,0,,,,,
2022-10-25T19:39:24+05:30,129,0,,,,,
2022-10-25T19:39:25+05:30,130,0,,,,,
2022-10-25T19:39:27+05:30,131,0,,,,,
2022-10-25T19:39:28+05:30,132,0,,,,,
2022-10-25T19:39:29+05:30,133,0,,,,,
2022-10-25T19:39:30+05:30,134,0,,,,,
2022-10-25T19:39:31+05:30,135,0,,,,,
2022-10-25T19:39:32+05:30,136,0,,,,,
2022-10-25T19:39:33+05:30,137,0,,,,,
2022-10-25T19:39:35+05:30,138,0,,,,,
2022-10-25T19:39:36+05:30,139,0,,,,,
2022-10-25T19:39:37+05:30,140,0,,,,,
2022-10-25T19:39:38+05:30,141,0,,,,,
2022-10-25T19:39:40+05:30,142,0,,,,,
2022-10-25T19:39:41+05:30,143,0,,,,,
2022-10-25T19:39:42+05:30,144,0,,,,,
2022-10-25T19:39:43+05:30,145,0,,,,,
2022-10-25T19:39:44+05:30,146,0,,,,,
2022-10-25T19:39:45+05:30,147,0,,,,,
2022-10-25T19:39:46+05:30,148,0,,,,,
2022-10-25T19:39:47+05:30,149,0,,,,,
2022-10-25T19:39:48+05:30,150,0,,,,,
2022-10-25T19:39:49+05:30,151,0,,,,,
2022-10-25T19:39:51+05:30,152,0,,,,,
2022-10-25T19:39:52+05:30,153,0,,,,,
2022-10-25T19:39:53+05:30,154,0,,,,,
2022-10-25T19:39:54+05:30,155,0,,,,,
2022-10-25T19:39:55+05:30,156,0,,,,,
2022-10-25T19:39:56+05:30,157,0,,,,,
2022-10-25T19:39:57+05:30,158,0,,,,,
2022-10-25T19:39:58+05:30,159,0,,,,,
2022-10-25T19:39:59+05:30,160,0,,,,,
2022-10-25T19:40:00+05:30,161,0,,,,,
2022-10-25T19:40:01+05:30,162,0,,,,,
2022-10-25T19:40:02+05:30,163,0,,,,,
2022-10-25T19:40:03+05:30,164,0,,,,,
2022-10-25T19:40:04+05:30,165,0,,,,,
2022-10-25T19:40:05+05:30,166,0,,,,,
2022-10-25T19:40:06+05:30,167,0,,,,,
2022-10-25T19:40:07+05:30,168,0,,,,,
2022-10-25T19:40:08+05:30,169,0,,,,,
2022-10-25T19:40:09+05:30,170,0,,,,,
2022-10-25T19:40:10+05:30,171,0,,,,,
2022-10-25T19:40:11+05:30,172,0,,,,,
2022-10-25T19:40:12+05:30,173,0,,,,,
2022-10-25T19:40:13+05:30,174,0,,,,,
2022-10-25T19:40:14+05:30,175,0,,,,,
2022-10-25T19:40:15+05:30,176,0,,,,,
2022-10-25T19:40:16+05:30,177,0,,,,,
2022-10-25T19:40:17+05:30,178,0,,,,,
2022-10-25T19:40:18+05:30,179,0,,,,,
2022-10-25T19:40:19+05:30,180,0,,,,,
2022-10-25T19:40:20+05:30,181,0,,,,,
2022-10-25T19:40:21+05:30,182,0,,,,,
2022-10-25T19:40:22+05:30,183,0,,,,,
2022-10-25T19:40:23+05:30,184,0,,,,,
2022-10-25T19:40:24+05:30,185,0,,,,,
2022-10-25T19:40:25+05:30,186,0,,,,,
2022-10-25T19:40:26+05:30,187,0,,,,,
2022-10-25T19:40:27+05:30,188,0,,,,,
2022-10-25T19:40:28+05:30,189,0,,,,,
2022-10-25T19:40:29+05:30,190,0,,,,,
2022-10-25T19:40:30+05:30,191,0,,,,,
2022-10-25T19:40:31+05:30,192,0,,,,,
2022-10-25T19:40:32+05:30,193,0,,,,,
2022-10-25T19:40:33+05:30,194,0,,,,,
2022-10-25T19:40:34+05:30,195,0,,,,,
2022-10-25T19:40:35+05:30,196,0,,,,,
2022-10-25T19:40:36+05:30,197,0,,,,,
2022-10-25T19:40:37+05:30,198,0,,,,,
2022-10-25T19:40:38+05:30,199,0,,,,,
2022-10-25T19:40:39+05:30,200,0,,,,,
2022-10-25T19:40:40+05:30,201,0,,,,,
2022-10-25T19:40:41+05:30,202,0,,,,,
2022-10-25T19:40:42+05:30,203,0,,,,,
2022-10-25T19:40:43+05:30,204,0,,,,,
2022-10-25T19:40:44+05:30,205,0,,,,,
2022-10-25T19:40:45+05:30,206,0,,,,,
2022-10-25T19:40:46+05:30,207,0,,,,,
2022-10-25T19:40:47+05:30,208,0,,,,,
